question,summary_answer,difficulty,intent,relevant_lines,filename
example of MyMaxMetric implementation,"An example implementation of a custom metric, `MyMaxMetric`, is provided, which calculates the maximum value in a column and visualizes it using Plotly.",intermediate,code,lines 29-82,metrics/customize_metric.mdx
plotly in custom metric visualization,"The article highlights how to use Plotly for creating custom visualizations in metrics, noting that skipping visualization results in a simple counter display.",advanced,text,lines 19-21,metrics/customize_metric.mdx
classification metrics explained,"The article discusses various classification metrics such as accuracy, precision, and recall, providing definitions and the importance of each in model evaluation.",beginner,text,lines 3-5,metrics/explainer_classification.mdx
interactive visualizations in model evaluation,"Evidently generates interactive visualizations that help analyze model mistakes and suggest improvement ideas, enhancing model performance analysis.",beginner,text,lines 5-5,metrics/explainer_classification.mdx
confusion matrix usage,"The article illustrates how a confusion matrix visualizes classification errors, helping users understand model performance and areas of error distribution.",beginner,text,lines 13-15,metrics/explainer_classification.mdx
how to calculate accuracy and precision,"It details the calculation of standard metrics including accuracy and precision, which are crucial for assessing model performance in classification tasks.",intermediate,code,lines 3-3,metrics/explainer_classification.mdx
ROC AUC interpretation,"The article provides insights into the ROC AUC metric, explaining how it reflects the model's ability to distinguish between classes under different thresholds.",intermediate,text,lines 21-21,metrics/explainer_classification.mdx
how to visualize model quality by class,"It explains how to visualize model quality metrics by class, which is especially important in multi-class classification problems, allowing for targeted improvements.",intermediate,code,lines 19-21,metrics/explainer_classification.mdx
using precision-recall curve,"Users can refer to the precision-recall curve to understand the trade-off between precision and recall at various thresholds, aiding in model optimization.",advanced,code,lines 45-47,metrics/explainer_classification.mdx
class separation quality visualization,"The article describes how to create scatter plots visualizing class separation quality, helping to select the optimal probability threshold for model predictions.",advanced,code,lines 25-29,metrics/explainer_classification.mdx
overall dataset summary features,"The article discusses a summary widget that provides an overview of the dataset, focusing on missing and empty features.",beginner,text,3-3,metrics/explainer_data_stats.mdx
visualizations for feature types,"The features widget generates various visualizations based on feature types like categorical, numerical, datetime, and text.",beginner,code,9-9,metrics/explainer_data_stats.mdx
explaining feature distribution,The article details how the feature overview table presents statistical summaries and distribution visualizations for each feature type.,intermediate,text,13-13,metrics/explainer_data_stats.mdx
examples of categorical feature analysis,"For categorical features, the article provides visual examples of how to analyze and visualize feature distributions over time and by target.",intermediate,code,35-49,metrics/explainer_data_stats.mdx
missing and constant features criteria,"The article defines almost empty and almost constant features as those where 95% or more of the data is missing or constant, which is highlighted in the dataset overview.",beginner,text,3-3,metrics/explainer_data_stats.mdx
feature correlations insights,"The correlation widget summarizes feature correlations, listing highly correlated variables and changes in correlation between datasets, which is essential for dataset analysis.",advanced,text,67-69,metrics/explainer_data_stats.mdx
how to create a correlation heatmap,"The article explains that correlation heatmaps can be generated from categorical and numerical features using different correlation matrix methods, although this specific widget has been removed in later versions.",advanced,code,75-79,metrics/explainer_data_stats.mdx
default data drift detection algorithm,The article explains how Evidently utilizes the default Data Drift Detection algorithm to identify distribution changes in datasets by comparing reference and current datasets.,beginner,text,1-11,metrics/explainer_drift.mdx
how to set drift detection parameters,"It mentions that users can customize data drift parameters and methods in the Evidently library, providing guidelines in the API reference section.",intermediate,code,"5, 69-69",metrics/explainer_drift.mdx
requirements for data drift detection,"The article outlines the requirements for conducting data drift detection, including the need for two datasets and non-empty columns for evaluation.",beginner,text,23-27,metrics/explainer_drift.mdx
tests for numerical columns,"It describes the specific statistical tests to apply for numerical columns based on the dataset size, including the Kolmogorov-Smirnov test and Wasserstein Distance.",intermediate,text,49-61,metrics/explainer_drift.mdx
drift detection for categorical features,The article notes that categorical features require different tests like the chi-squared test and how to interpret their results when detecting drift.,intermediate,code,51-63,metrics/explainer_drift.mdx
calculating drift score in Evidently,"Drift scores in Evidently are calculated using P-values or distances/divergences, with thresholds set for detecting significant drift.",advanced,text,"56, 66, 104-104",metrics/explainer_drift.mdx
dataset-level drift detection rules,"It explains how users can establish dataset-level drift detection rules, setting conditions based on the percentage of columns that have drifted.",beginner,code,"21, 37-39",metrics/explainer_drift.mdx
ROC AUC in text data drift,The article details how ROC AUC scores are used to detect text data drift and the specific thresholds needed for different dataset sizes.,advanced,text,97-101,metrics/explainer_drift.mdx
recall at K metrics,"The article explains recall at K as a measure of how many relevant items are retrieved within the top K results, detailing how to compute it by user and overall.",beginner,text,9-22,metrics/explainer_recsys.mdx
how to calculate precision at K,"It outlines the steps to compute precision at K, which assesses the proportion of relevant results among the top K items, including calculations by user and overall.",beginner,code,28-40,metrics/explainer_recsys.mdx
F Beta score explanation,"The article describes the F Beta score as a combined measure of precision and recall at K, adjusting the weight of recall relative to precision based on the Beta parameter.",intermediate,text,45-56,metrics/explainer_recsys.mdx
Mean Average Precision implementation steps,"It provides a detailed method for computing Mean Average Precision at K, emphasizing its rank-awareness and how it differs from basic precision.",intermediate,code,59-80,metrics/explainer_recsys.mdx
how to compute NDCG,"The article describes how to compute the Normalized Discounted Cumulative Gain (NDCG) at K, including how to determine relevance scores and the calculation of DCG and IDCG.",intermediate,code,113-128,metrics/explainer_recsys.mdx
mean reciprocal rank usage,It explains the concept of Mean Reciprocal Rank (MRR) and how it is used to measure ranking quality based on the position of the first relevant item.,beginner,text,154-168,metrics/explainer_recsys.mdx
Hitrate in recommendation systems,The article outlines Hit Rate as a metric to measure the share of users with at least one relevant item in their top K recommendations.,beginner,text,138-146,metrics/explainer_recsys.mdx
compute recall and precision at K,"It provides a combined approach to compute both recall and precision at K, elaborating on their formulas and implementations.",intermediate,code,14-35,metrics/explainer_recsys.mdx
difference between MAP and precision,"The article distinguishes MAP from precision, noting that MAP penalizes lower-ranked relevant items, making it rank-aware.",advanced,text,61-63,metrics/explainer_recsys.mdx
score distribution in recommendation metrics,"It discusses how to compute score distribution entropy in recommendations, including using softmax transformation and KL divergence.",advanced,code,176-182,metrics/explainer_recsys.mdx
model quality metrics definitions,"This article explains standard model quality metrics such as Mean Error (ME), Mean Absolute Error (MAE), and Mean Absolute Percentage Error (MAPE).",beginner,text,lines 3-3,metrics/explainer_regression.mdx
how to calculate MAE,The article provides an overview of how to calculate metrics like Mean Absolute Error (MAE) as part of model quality analysis.,beginner,code,lines 3-51,metrics/explainer_regression.mdx
interactive visualizations for model performance,The article introduces interactive visualizations to analyze model predictions and understand performance issues and errors.,beginner,text,lines 9-9,metrics/explainer_regression.mdx
scatter plot for predicted vs actual values,"It describes how to generate a scatter plot for predicted versus actual values, enabling visual analysis of model performance.",intermediate,code,lines 11-13,metrics/explainer_regression.mdx
error distribution analysis,The article covers how to analyze error distribution to better understand model performance and where it makes mistakes.,intermediate,text,lines 35-39,metrics/explainer_regression.mdx
how to visualize predicted vs actual over time,It details generating visualizations of predicted and actual values over time or by index for performance tracking.,intermediate,code,lines 19-19,metrics/explainer_regression.mdx
importance of standard deviation in metrics,The article mentions that it shows the standard deviation of model metrics to estimate the stability of performance.,intermediate,text,lines 7-7,metrics/explainer_regression.mdx
mean error for underestimation and overestimation,The model quality summary for groups with high positive or negative errors provides insights into mean errors per group.,advanced,text,lines 51-51,metrics/explainer_regression.mdx
histogram for error bias per feature,The article explains using histograms to visualize the distribution of feature values associated with high error predictions.,advanced,code,lines 89-89,metrics/explainer_regression.mdx
using ClassificationPreset python example,"The article provides a Python example showing how to implement the ClassificationPreset in a report, allowing users to run evaluations on their dataset.",beginner,code,lines 7-12,metrics/preset_classification.mdx
Classification Quality Tests auto-generated,"It explains how tests are auto-generated from the reference dataset to assess model performance, detailing conditions derived from the data.",intermediate,text,lines 40-48,metrics/preset_classification.mdx
customize report conditions Classification,"The article outlines how to customize report conditions, allowing users to modify auto-generated tests or add new metrics for improved evaluation.",advanced,code,lines 83-85,metrics/preset_classification.mdx
data drift preset usage example,The article provides example code snippets for using the DataDriftPreset within a Report to compare current and reference datasets.,beginner,code,lines 5-12,metrics/preset_data_drift.mdx
how to set up data drift tests,It explains how to include explicit tests for each column using the DataDriftPreset and the Report's configuration options.,beginner,code,lines 15-23,metrics/preset_data_drift.mdx
understanding overall dataset drift,The article details how to detect overall dataset drift based on the proportion of drifting columns identified during evaluation.,intermediate,text,lines 36-38,metrics/preset_data_drift.mdx
report customization options for data drift,"Customization options for data drift reporting, such as selecting specific columns and changing drift parameters, are discussed in detail to tailor evaluations.",intermediate,text,lines 78-90,metrics/preset_data_drift.mdx
advanced data drift detection methods,"For advanced users, the article outlines various drift detection methods available for customization, such as K-L divergence and PSI.",advanced,text,lines 86-93,metrics/preset_data_drift.mdx
data summary preset example,"The article provides examples of how to use the Data Summary Preset to generate reports on datasets, both with and without tests.",beginner,code,lines 5-12,metrics/preset_data_summary.mdx
how to run data summary report,"Instructions for running a Data Summary report on a current dataset are clearly outlined in the article, including example code snippets.",beginner,code,lines 5-12,metrics/preset_data_summary.mdx
test suite in data summary,"The article discusses how a Test Suite can be implemented using the Data Summary Preset, including auto-generated tests based on reference datasets.",intermediate,text,lines 15-44,metrics/preset_data_summary.mdx
how to run a report on recommender system,The article provides a code snippet showing how to create and run a Report for a recommender system using the RecSysPreset with a specified 'k' value for top-k recommendations.,beginner,code,lines 5-12,metrics/preset_recsys.mdx
RecsysPreset metrics explained,"The article describes that RecsysPreset evaluates the recommender system through various metrics, including NDCG at K and diversity, with metric selection depending on the provided data.",intermediate,text,lines 28-32,metrics/preset_recsys.mdx
customizing report for recommender systems,"This section details how to modify the Report's test conditions and composition, such as adding metrics to assess data drift and creating custom reports.",advanced,code,lines 78-85,metrics/preset_recsys.mdx
how to prepare data for regression preset,The article mentions that users should know how to use the Data Definition to prepare the data before running the Regression Preset.,beginner,text,lines 1-3,metrics/preset_regression.mdx
python code for running regression report,The document provides Python code snippets for generating a regression report using the RegressionPreset for evaluating a dataset.,beginner,code,lines 7-12,metrics/preset_regression.mdx
customizing regression report conditions,The article outlines how users can modify test conditions and report composition in the Regression Quality Preset for more tailored evaluations.,intermediate,code,lines 80-82,metrics/preset_regression.mdx
compute descriptors before running Text Evals,"To run the Text Evals Report, you need to compute descriptors and add them to your dataset first.",beginner,text,lines 1-1,metrics/preset_text_evals.mdx
how to run Report with TextEvals in Python,"You can run a Report in Python using `Report(metrics=[TextEvals()])` and calling `report.run(current, None)` for a single current dataset.",beginner,code,lines 6-10,metrics/preset_text_evals.mdx
customize Text Evals report conditions,You can customize your Text Evals report by selecting specific descriptors and setting custom test conditions using the `columns` parameter.,intermediate,code,lines 68-70,metrics/preset_text_evals.mdx
evidently llm evaluation setup,"The article provides detailed steps on setting up the Evidently environment for LLM evaluation, including how to install the library and create a project.",beginner,code,lines 20-56,quickstart_llm.mdx
how to create a dataset for llm,"It explains how to prepare a toy demo chatbot dataset with questions and answers, essential for evaluating LLM outputs.",beginner,code,lines 57-75,quickstart_llm.mdx
python code to run llm evaluations,"The article includes code snippets for running evaluations using the Evidently dataset, adding descriptors like sentiment and text length.",intermediate,code,lines 111-129,quickstart_llm.mdx
evidently llm descriptor examples,"It outlines various descriptors you can use for evaluations, such as Sentiment, TextLength, and others that enhance LLM output assessments.",intermediate,text,lines 98-110,quickstart_llm.mdx
how to create a report in evidently,"Instructions are provided on creating a report that summarizes evaluation results, which can be previewed locally or uploaded to the Evidently Cloud.",beginner,code,lines 137-171,quickstart_llm.mdx
using openai key for evaluations,The article specifies how to set the OpenAI API key as an environment variable for evaluating LLM outputs with the OpenAI model.,intermediate,code,lines 100-108,quickstart_llm.mdx
define custom llm judge template,It shows how to create a custom LLM judge template for evaluating question appropriateness using the BinaryClassificationPromptTemplate.,advanced,code,lines 238-278,quickstart_llm.mdx
track llm evaluation results,The document describes how to create a dashboard for tracking evaluation results over time within the Evidently platform.,intermediate,text,lines 175-181,quickstart_llm.mdx
conditional tests in llm evaluations,"The article explains how to implement conditions for evaluation results, such as checks for sentiment and text length, enhancing the evaluation process.",advanced,code,lines 185-210,quickstart_llm.mdx
evaluate prediction accuracy in Python,"The article explains how to evaluate prediction accuracy for ML models, including methods to check classification or regression accuracy.",beginner,text,lines 8-9,quickstart_ml.mdx
set up Evidently for local use,It details the installation steps for the Evidently library and setting up the local environment for conducting data evaluations.,beginner,code,lines 27-29,quickstart_ml.mdx
data drift Python example,"The article provides a step-by-step example of generating a data drift report using Python, including necessary code snippets.",intermediate,code,lines 110-117,quickstart_ml.mdx
import datasets from OpenML,"It includes instructions on how to fetch and import datasets from OpenML, useful for preparing data for evaluation.",beginner,code,lines 58-61,quickstart_ml.mdx
create a dashboard in Evidently,"The article describes how to create a dashboard for monitoring data drift over time in Evidently, with example code for setting up visualizations.",advanced,code,lines 154-200,quickstart_ml.mdx
difference between data drift and prediction drift,"It explains the differences between data drift and prediction drift, and why both metrics are important for monitoring ML model performance.",intermediate,text,lines 11-12,quickstart_ml.mdx
setting up tracing for LLM app,"The article provides a step-by-step guide on how to set up tracing for an LLM app, detailing the tools needed and installation steps.",beginner,text,4-4,quickstart_tracing.mdx
installing Evidently and Tracely libraries,It includes Python commands to install the Evidently and Tracely libraries necessary for tracing in LLM applications.,beginner,code,20-25,quickstart_tracing.mdx
how to configure tracing in OpenAI app,"The tutorial outlines how to configure tracing in an OpenAI application, including setting up the tracing parameters and initializing the tracing library.",intermediate,code,72-91,quickstart_tracing.mdx
viewing traces in Evidently Cloud,"Instructions are provided on how to navigate to the 'Traces' section in Evidently Cloud to view, sort, and manage your traced dataset.",beginner,text,138-140,quickstart_tracing.mdx
running evaluations on traced dataset,"The article describes how to run evaluations on the traced dataset, both in the Cloud and locally, with code examples for loading and analyzing data.",advanced,code,156-188,quickstart_tracing.mdx
adversarial tests examples,"The article discusses how adversarial tests are designed to exploit model weaknesses, such as harmful content and prompt leakage, and how to set up these tests using Evidently Cloud.",beginner,text,lines 1-5,synthetic-data/adversarial_data.mdx
creating adversarial dataset Evidently,"The article provides a step-by-step guide on creating an adversarial dataset in the Evidently UI, including selecting test scenarios and configuring input numbers.",intermediate,code,lines 11-58,synthetic-data/adversarial_data.mdx
generate synthetic inputs for test cases,"The article details the process for generating synthetic input test cases, including defining scenarios and generating example inputs specific to your use case.",beginner,code,lines 1-5,synthetic-data/input_data.mdx
synthetic data generation examples,"The article discusses how Evidently Cloud can generate synthetic data for experiments, regression testing, and adversarial testing, providing practical applications and examples of input generation.",beginner,code,lines 5-13,synthetic-data/introduction.mdx
generate RAG test dataset from knowledge source,The article explains how to generate a RAG test dataset directly from your knowledge source by uploading your data and specifying parameters for input generation.,beginner,code,lines 7-21,synthetic-data/rag_data.mdx
using synthetic data for AI testing,"The article explains that synthetic data helps generate test datasets quickly and efficiently, especially when real data is scarce or inadequate for certain evaluations.",beginner,code,lines 16-21,synthetic-data/why_synthetic.mdx
how to create test datasets for LLM evaluations,"It outlines methods for creating test datasets, including manually, from real data, or synthetically, emphasizing the advantages of synthetic data for scaling and covering edge cases.",intermediate,text,lines 14-20,synthetic-data/why_synthetic.mdx
